epoch,train_loss,val_acc,time_sec
1,-30.192890,0.673300,33.4
2,-30.964770,0.799800,32.7
3,-31.158259,0.823900,32.7
4,-31.272739,0.863400,33.2
5,-31.423927,0.906400,33.3
6,-31.564415,0.923700,33.9
7,-31.644357,0.942500,34.1
8,-31.686445,0.951300,33.2
9,-31.706131,0.951300,33.3
10,-31.721932,0.952200,33.6
11,-31.735366,0.954200,34.0
12,-31.742116,0.958100,34.0
13,-31.747933,0.957800,33.6
14,-31.754186,0.956800,33.3
15,-31.760650,0.957600,34.8
16,-31.763110,0.959800,35.5
17,-31.770592,0.957400,35.6
18,-31.771441,0.958600,34.2
19,-31.773560,0.957800,33.2
20,-31.779199,0.959400,33.4
21,-31.782941,0.959900,33.4
22,-31.787943,0.958100,33.9
23,-31.789641,0.958000,34.3
24,-31.793016,0.959100,33.7
25,-31.798287,0.957200,34.4
26,-31.799968,0.958000,34.3
27,-31.804584,0.957700,35.3
28,-31.807909,0.955600,34.2
29,-31.809128,0.955300,34.2
30,-31.813133,0.957900,34.7
31,-31.817256,0.956800,34.6
32,-31.816887,0.953000,34.8
33,-31.825443,0.955000,34.9
34,-31.827104,0.954700,34.7
35,-31.826746,0.954100,35.0
36,-31.828843,0.954000,35.0
37,-31.833480,0.954700,35.0
38,-31.835728,0.955200,34.6
39,-31.834718,0.955400,34.6
40,-31.835839,0.954300,34.2
41,-31.838673,0.955000,34.6
42,-31.841928,0.953700,34.2
43,-31.842703,0.954600,34.9
44,-31.845242,0.954500,35.0
45,-31.845103,0.951400,34.5
46,-31.845858,0.954700,34.5
47,-31.847626,0.954400,34.4
48,-31.848664,0.954100,34.8
49,-31.850409,0.952200,34.7
50,-31.852833,0.953100,34.9
