epoch,train_loss,val_acc,time_sec
1,-30.226479,0.731700,30.4
2,-31.043153,0.827300,31.1
3,-31.294557,0.880900,31.5
4,-31.480517,0.921600,31.3
5,-31.606472,0.946700,31.7
6,-31.676337,0.954100,32.1
7,-31.713583,0.955100,31.0
8,-31.738330,0.961500,31.5
9,-31.758477,0.960800,30.1
10,-31.771986,0.964000,30.0
11,-31.784530,0.964000,30.1
12,-31.792480,0.963500,30.1
13,-31.800482,0.964500,30.2
14,-31.808714,0.963900,30.1
15,-31.819365,0.965100,30.0
16,-31.824907,0.965800,30.1
17,-31.833483,0.962200,30.6
18,-31.838962,0.963000,30.3
19,-31.841903,0.960400,30.1
20,-31.849580,0.961100,30.1
21,-31.852710,0.961900,30.1
22,-31.855942,0.963400,30.5
23,-31.859828,0.961800,30.5
24,-31.863678,0.962600,30.3
25,-31.868398,0.961800,30.2
26,-31.868585,0.961800,30.1
27,-31.869460,0.961200,30.4
28,-31.871158,0.959900,30.1
29,-31.870504,0.960200,30.2
30,-31.872511,0.960700,30.1
31,-31.872176,0.960200,30.1
32,-31.875070,0.960400,30.3
33,-31.872453,0.959700,30.2
34,-31.877096,0.961600,30.4
35,-31.881575,0.961400,30.2
36,-31.882391,0.961100,30.3
37,-31.883345,0.960300,30.4
38,-31.885495,0.959900,30.1
39,-31.882694,0.961100,30.1
40,-31.887727,0.958300,30.3
41,-31.888380,0.961800,29.9
42,-31.888402,0.962100,30.0
43,-31.892456,0.961100,30.1
44,-31.892035,0.960500,30.1
45,-31.894391,0.957900,30.0
46,-31.897826,0.957200,30.0
47,-31.898918,0.958900,30.2
48,-31.902493,0.956600,29.9
49,-31.904615,0.958700,30.0
50,-31.905813,0.957600,29.9
