epoch,train_loss,val_loss,val_acc,time_sec,saved
1,-30.0674245,-31.7487679,0.5230000,4.6,True
2,-30.4930491,-31.7853508,0.5670000,3.8,True
3,-30.6175601,-31.8222599,0.5720000,3.7,True
4,-30.6660671,-31.8183212,0.5850000,3.8,True
5,-30.6987233,-31.8172989,0.6500000,3.8,True
6,-30.7384777,-31.8121872,0.6520000,3.9,True
7,-30.7746680,-31.8255768,0.6830000,3.9,True
8,-30.8482130,-31.8151913,0.7220000,3.9,True
9,-30.9566324,-31.8548965,0.7630000,3.9,True
10,-31.1123929,-31.8239899,0.8070000,3.9,True
11,-31.2843742,-31.8022423,0.8750000,3.9,True
12,-31.4211423,-31.8010445,0.9110000,3.8,True
13,-31.5549006,-31.7825699,0.9460000,4.1,True
14,-31.6447532,-31.7968540,0.9500000,4.0,True
15,-31.7094631,-31.7983952,0.9620000,4.1,True
16,-31.7510984,-31.8162804,0.9740000,4.1,True
17,-31.7598760,-31.8187637,0.9719999,4.1,True
18,-31.7997286,-31.8221149,0.9800000,4.1,True
19,-31.8334613,-31.8194046,0.9809999,4.0,False
20,-31.8394670,-31.8187714,0.9809999,4.1,False
21,-31.8367572,-31.7660999,0.9830000,4.5,False
22,-31.8489661,-31.7983437,0.9830000,4.4,False
23,-31.8538055,-31.7997036,0.9800000,4.7,False
24,-31.8792319,-31.7946072,0.9809999,4.6,False
25,-31.9056220,-31.8082085,0.9809999,4.7,True
26,-31.8932617,-31.8428955,0.9870000,4.7,False
27,-31.8980348,-31.7872105,0.9850000,4.5,False
28,-31.9044776,-31.8046780,0.9820000,4.6,False
29,-31.9174538,-31.8176804,0.9870000,4.4,True
30,-31.9315813,-31.8174038,0.9880000,4.4,False
31,-31.9410129,-31.8303032,0.9840000,4.5,False
32,-31.9523609,-31.7975082,0.9870000,4.0,False
33,-31.9377086,-31.8334274,0.9860000,4.0,False
34,-31.9276006,-31.8291950,0.9850000,4.1,False
35,-31.9137847,-31.7711067,0.9809999,4.0,False
36,-31.9149697,-31.8072338,0.9840000,4.0,False
37,-31.9401443,-31.8583794,0.9870000,4.0,False
38,-31.9459441,-31.8265820,0.9870000,4.1,True
39,-31.9659240,-31.8452530,0.9870000,4.1,False
40,-31.9666560,-31.8280563,0.9890000,4.0,False
41,-31.9727213,-31.8328094,0.9870000,4.1,True
42,-31.9926741,-31.8333454,0.9899999,4.1,True
43,-31.9900124,-31.8358517,0.9910000,4.0,True
44,-31.9970491,-31.8483372,0.9899999,4.1,True
45,-32.0101085,-31.8339901,0.9880000,4.1,False
46,-31.9889183,-31.8786602,0.9920000,4.1,True
47,-31.9965136,-31.8678188,0.9899999,4.0,False
48,-31.9967916,-31.8485069,0.9930000,4.2,False
49,-31.9943600,-31.8378105,0.9870000,3.9,False
50,-32.0181947,-31.8517876,0.9880000,4.0,False
51,-32.0217223,-31.8646698,0.9880000,4.1,False
52,-32.0277913,-31.8538246,0.9860000,4.0,False
53,-32.0319533,-31.8756676,0.9870000,4.1,True
54,-32.0271096,-31.8727760,0.9910000,4.1,False
55,-32.0489454,-31.8472271,0.9850000,4.0,False
56,-32.0264173,-31.8457851,0.9890000,4.1,False
57,-32.0380821,-31.8632793,0.9860000,4.0,False
58,-32.0349014,-31.8865337,0.9910000,4.0,True
59,-32.0443876,-31.8727798,0.9870000,4.0,True
60,-32.0662456,-31.8822670,0.9920000,3.9,True
61,-32.0555491,-31.8946266,0.9910000,4.0,False
62,-32.0500476,-31.8852749,0.9860000,4.0,False
63,-32.0684507,-31.8947124,0.9890000,3.9,False
64,-32.0650156,-31.8759289,0.9860000,4.0,False
65,-32.0701222,-31.8472748,0.9899999,4.1,False
66,-32.0791140,-31.8576393,0.9850000,4.0,False
67,-32.0814450,-31.8447876,0.9870000,3.9,False
68,-32.0786855,-31.8774223,0.9880000,4.1,False
69,-32.0744317,-31.8605328,0.9860000,4.5,False
70,-32.0878677,-31.9005108,0.9890000,6.0,False
71,-32.1026080,-31.8888264,0.9870000,4.6,False
72,-32.0871012,-31.8901863,0.9870000,4.5,False
73,-32.0957341,-31.8903503,0.9880000,4.3,True
74,-32.0915010,-31.8592148,0.9870000,4.4,False
75,-32.0885339,-31.8637047,0.9880000,4.3,False
76,-32.1086140,-31.8564816,0.9899999,5.8,False
77,-32.1178873,-31.8598900,0.9880000,5.8,True
78,-32.1160653,-31.8451557,0.9870000,4.7,False
79,-32.1137841,-31.8836174,0.9880000,5.5,False
80,-32.1169980,-31.8844585,0.9950000,5.1,True
81,-32.1172345,-31.9038754,0.9870000,5.6,False
82,-32.1241474,-31.8842030,0.9899999,5.9,False
83,-32.1276670,-31.8771191,0.9880000,5.8,False
84,-32.1327512,-31.8937168,0.9870000,6.1,False
85,-32.1386566,-31.8877983,0.9890000,6.2,False
86,-32.1200113,-31.9094067,0.9899999,6.0,False
87,-32.1232345,-31.8856869,0.9899999,5.7,False
88,-32.1393847,-31.8804817,0.9880000,4.7,False
89,-32.1417687,-31.8755951,0.9860000,5.4,False
90,-32.1375754,-31.8718777,0.9860000,5.5,False
91,-32.1356363,-31.8689060,0.9899999,6.1,False
92,-32.1414261,-31.8604298,0.9899999,7.7,True
93,-32.1516187,-31.8856831,0.9890000,6.6,False
94,-32.1483650,-31.8956852,0.9910000,8.6,False
95,-32.1407743,-31.8661976,0.9870000,4.8,False
96,-32.1586158,-31.8990402,0.9860000,6.1,False
97,-32.1481240,-31.8950462,0.9870000,7.3,False
98,-32.1505814,-31.8643169,0.9870000,7.3,False
99,-32.1588743,-31.8888378,0.9890000,11.2,False
100,-32.1579151,-31.9008503,0.9840000,8.4,False
