epoch,train_loss,val_rate,val_acc,time_sec,saved
1,-31.0489071,31.9275156,0.8582000,31.8,True
2,-31.4916808,31.9274900,0.9305000,30.4,False
3,-31.6378455,31.9275883,0.9471000,30.1,True
4,-31.6877230,31.9277668,0.9526000,30.2,True
5,-31.7114783,31.9277283,0.9540000,30.2,False
6,-31.7270662,31.9279955,0.9524000,30.4,True
7,-31.7377707,31.9279303,0.9558000,30.3,False
8,-31.7492224,31.9281551,0.9538000,30.5,True
9,-31.7541838,31.9282101,0.9586000,30.4,True
10,-31.7619539,31.9283337,0.9554000,30.7,True
11,-31.7692942,31.9284969,0.9572000,30.8,True
12,-31.7747311,31.9285130,0.9608000,30.8,True
13,-31.7765783,31.9286304,0.9596000,30.8,True
14,-31.7813495,31.9284826,0.9589000,30.9,False
15,-31.7847891,31.9286776,0.9604000,30.8,True
16,-31.7875499,31.9292242,0.9585000,30.9,True
17,-31.7901142,31.9291224,0.9566000,30.8,False
18,-31.7951606,31.9291386,0.9604000,30.9,False
19,-31.7984739,31.9299660,0.9584000,31.0,True
20,-31.8024858,31.9287067,0.9588000,31.2,False
21,-31.8070869,31.9298962,0.9563000,31.0,False
22,-31.8101477,31.9299263,0.9572000,30.9,False
23,-31.8160962,31.9296179,0.9578000,31.0,False
24,-31.8189965,31.9303843,0.9570000,31.1,True
25,-31.8227355,31.9306499,0.9589000,31.0,True
26,-31.8236274,31.9305939,0.9552000,31.1,False
27,-31.8275577,31.9315121,0.9567000,31.3,True
28,-31.8280869,31.9280424,0.9555000,31.6,False
29,-31.8308418,31.9303598,0.9552000,31.2,False
30,-31.8364615,31.9313709,0.9571000,31.1,False
31,-31.8385184,31.9320202,0.9568000,31.1,True
32,-31.8386894,31.9304167,0.9566000,31.2,False
33,-31.8409214,31.9324619,0.9558000,31.0,True
34,-31.8435073,31.9328474,0.9545000,31.0,True
35,-31.8471901,31.9332573,0.9548000,31.3,True
36,-31.8482592,31.9331318,0.9567000,31.1,False
37,-31.8546229,31.9345333,0.9552000,31.3,True
38,-31.8505600,31.9353064,0.9554000,31.2,True
39,-31.8561359,31.9367588,0.9595000,31.2,True
40,-31.8567852,31.9371170,0.9571000,31.1,True
41,-31.8618207,31.9376810,0.9558000,31.2,True
42,-31.8655611,31.9403366,0.9509000,31.2,True
43,-31.8653553,31.9402491,0.9553000,31.2,False
44,-31.8672977,31.9402786,0.9553000,31.3,False
45,-31.8701311,31.9404427,0.9546000,31.3,True
46,-31.8733559,31.9414221,0.9561000,31.4,True
47,-31.8739862,31.9450731,0.9554000,31.5,True
48,-31.8733797,31.9441814,0.9531000,31.2,False
49,-31.8791574,31.9451069,0.9556000,31.4,True
50,-31.8827837,31.9490862,0.9545000,31.3,True
51,-31.8825941,31.9485785,0.9558000,31.3,False
52,-31.8846867,31.9476311,0.9525000,31.3,False
53,-31.8867872,31.9500067,0.9559000,31.3,True
54,-31.8872222,31.9507195,0.9554000,31.3,True
55,-31.8898426,31.9531330,0.9532000,31.4,True
56,-31.8951391,31.9542837,0.9546000,31.2,True
57,-31.8952385,31.9541235,0.9539000,31.2,False
58,-31.8976970,31.9524445,0.9551000,31.3,False
59,-31.9000093,31.9545467,0.9554000,31.3,True
60,-31.8967891,31.9552818,0.9560000,31.4,True
61,-31.9001393,31.9569731,0.9555000,31.2,True
62,-31.9031014,31.9577547,0.9565000,31.4,True
63,-31.9032439,31.9558723,0.9522000,31.5,False
64,-31.9062662,31.9592627,0.9537000,31.4,True
65,-31.9080331,31.9561565,0.9554000,31.3,False
66,-31.9083398,31.9580315,0.9549000,31.6,False
67,-31.9092076,31.9585083,0.9548000,31.5,False
68,-31.9124866,31.9598072,0.9549000,31.4,True
69,-31.9117581,31.9624262,0.9514000,31.6,True
70,-31.9112829,31.9623110,0.9518000,31.6,False
71,-31.9155607,31.9609020,0.9529000,31.8,False
72,-31.9146461,31.9584511,0.9538000,31.4,False
73,-31.9159799,31.9613823,0.9503000,31.6,False
74,-31.9176292,31.9628841,0.9542000,31.4,True
75,-31.9196267,31.9634689,0.9548000,31.2,True
76,-31.9216313,31.9647453,0.9525000,31.2,True
77,-31.9183290,31.9643156,0.9545000,31.2,False
78,-31.9203405,31.9653141,0.9508000,31.3,True
79,-31.9212355,31.9661833,0.9555000,31.0,True
80,-31.9246726,31.9644939,0.9526000,31.0,False
81,-31.9226177,31.9650837,0.9526000,31.1,False
82,-31.9219167,31.9655184,0.9541000,31.3,False
83,-31.9221092,31.9631205,0.9542000,31.5,False
84,-31.9251728,31.9659063,0.9554000,31.3,False
85,-31.9227161,31.9640867,0.9550000,31.4,False
86,-31.9258988,31.9674065,0.9537000,31.2,True
87,-31.9271698,31.9686487,0.9520000,31.3,True
88,-31.9280870,31.9665632,0.9554000,31.4,False
89,-31.9276702,31.9661484,0.9520000,31.3,False
90,-31.9291865,31.9675388,0.9536000,31.4,False
91,-31.9304484,31.9653652,0.9528000,31.3,False
92,-31.9291513,31.9654186,0.9540000,31.3,False
93,-31.9291218,31.9682396,0.9539000,31.4,False
94,-31.9296515,31.9670408,0.9516000,31.3,False
95,-31.9293731,31.9681820,0.9551000,31.6,False
96,-31.9306793,31.9689135,0.9539000,31.4,True
97,-31.9312190,31.9675261,0.9528000,31.4,False
98,-31.9341087,31.9693333,0.9542000,31.6,True
99,-31.9322962,31.9672832,0.9537000,31.5,False
100,-31.9322973,31.9699718,0.9516000,31.6,True
101,-31.9337411,31.9699036,0.9526000,31.6,False
102,-31.9333566,31.9664663,0.9509000,31.5,False
103,-31.9345170,31.9694405,0.9540000,31.2,False
104,-31.9342386,31.9684124,0.9542000,31.3,False
105,-31.9357119,31.9671556,0.9547000,31.4,False
106,-31.9351585,31.9684322,0.9552000,31.2,False
107,-31.9344508,31.9699862,0.9548000,31.2,True
108,-31.9369440,31.9709991,0.9551000,31.6,True
109,-31.9369539,31.9690990,0.9541000,31.5,False
110,-31.9357520,31.9688911,0.9553000,31.3,False
111,-31.9377167,31.9691660,0.9549000,31.4,False
112,-31.9390450,31.9717209,0.9526000,31.5,True
113,-31.9382016,31.9704338,0.9539000,31.4,False
114,-31.9367505,31.9705025,0.9521000,31.5,False
115,-31.9377297,31.9694267,0.9529000,31.4,False
116,-31.9392757,31.9713951,0.9534000,31.6,False
117,-31.9392455,31.9722494,0.9548000,31.7,True
