epoch,train_loss,val_rate,val_acc,time_sec,saved
1,-23.7788211,32.1498882,0.5934000,14.1,True
2,-22.6681628,32.1535671,0.7224000,12.2,True
3,-22.1917068,32.1485691,0.8202000,11.5,True
4,-23.2566257,32.1435242,0.9600000,12.6,True
5,-23.0881449,32.1565495,0.9852000,12.6,True
6,-23.9982070,32.1705788,0.9886000,13.0,True
7,-26.4605258,32.1720516,0.9894000,15.3,True
8,-22.5125597,32.1712646,0.9922000,12.4,True
9,-25.7645482,32.1796783,0.9906000,14.4,True
10,-25.9083848,32.1776234,0.9908000,14.5,False
11,-25.4348978,32.1807758,0.9916000,14.1,True
12,-24.4730130,32.1741211,0.9878000,13.7,False
13,-23.7815975,32.1784409,0.9920000,13.0,False
14,-25.9126808,32.1823421,0.9888000,14.6,False
15,-22.7952197,32.1770218,0.9910000,12.1,False
16,-22.8315033,32.1795002,0.9914000,12.4,False
17,-24.4794020,32.1791130,0.9914000,13.2,False
18,-23.2705087,32.1859730,0.9904000,12.5,True
19,-25.3214251,32.1825188,0.9924000,13.9,False
20,-24.0290299,32.1826004,0.9924000,12.9,False
21,-24.7800827,32.1969116,0.9886000,13.4,True
22,-24.2833987,32.1983204,0.9908000,13.4,True
23,-23.8845780,32.2011532,0.9898000,13.0,True
24,-23.7761026,32.2051140,0.9900000,12.8,True
25,-24.0625178,32.2063099,0.9896000,13.2,True
26,-25.4438964,32.2222008,0.9918000,14.0,True
27,-25.6913240,32.2275421,0.9900000,14.2,True
28,-24.0044695,32.2182404,0.9916000,12.7,False
29,-22.5745525,32.2258785,0.9890000,11.9,False
30,-24.4958522,32.2086910,0.9918000,13.6,False
31,-24.8087186,32.2137142,0.9898000,13.7,False
32,-22.8744410,32.2329388,0.9902000,11.9,True
33,-23.7841416,32.2369984,0.9916000,13.0,True
34,-23.2625952,32.2369316,0.9926000,12.7,True
35,-23.2214709,32.2478165,0.9902000,12.3,True
36,-24.1812666,32.2438660,0.9908000,13.3,False
37,-25.2208633,32.2420475,0.9922000,13.8,False
38,-22.9479416,32.2508423,0.9888000,12.5,True
39,-24.1197587,32.2472824,0.9904000,13.1,False
40,-25.8848851,32.2535984,0.9896000,14.5,True
41,-24.7789584,32.2505226,0.9910000,13.9,False
42,-25.5740464,32.2584381,0.9920000,14.3,True
43,-23.7057595,32.2616352,0.9884000,12.9,False
44,-24.4449165,32.2525108,0.9900000,13.4,False
45,-24.9845609,32.2610497,0.9888000,13.7,False
46,-24.2210590,32.2673187,0.9908000,13.5,True
47,-24.8493212,32.2718491,0.9902000,13.9,True
48,-24.5598260,32.2576511,0.9904000,13.4,False
49,-23.9598450,32.2664845,0.9902000,12.7,False
50,-23.0039118,32.2715424,0.9878000,12.7,False
51,-24.2792988,32.2741608,0.9890000,13.4,True
52,-25.3428111,32.2719181,0.9910000,14.4,False
53,-23.9502825,32.2701767,0.9892000,12.9,False
54,-24.1216569,32.2667927,0.9888000,13.4,False
55,-22.8293327,32.2827854,0.9882000,12.9,True
56,-24.5665692,32.2813274,0.9904000,13.6,True
57,-24.7091259,32.2777054,0.9888000,13.8,False
58,-22.7177011,32.2745651,0.9882000,12.1,False
59,-25.2983886,32.2779694,0.9888000,13.9,False
60,-24.3113497,32.2902386,0.9902000,12.9,True
61,-24.1744924,32.2808910,0.9890000,12.8,False
62,-24.6024872,32.2835178,0.9902000,12.8,False
63,-25.1383196,32.2832951,0.9902000,13.4,False
64,-25.1506397,32.2877869,0.9872000,13.3,False
65,-25.7450166,32.2923218,0.9906000,14.1,True
66,-23.9919066,32.2976585,0.9908000,12.6,True
67,-25.3286329,32.2889339,0.9898000,13.7,False
68,-24.0480586,32.2886578,0.9892000,12.9,False
69,-24.1052624,32.2902359,0.9886000,12.8,False
70,-23.1655728,32.2889572,0.9896000,11.8,False
71,-25.8674692,32.2884132,0.9908000,14.3,False
72,-23.0337978,32.2948898,0.9894000,12.1,False
73,-23.0998597,32.2878201,0.9886000,12.1,False
74,-24.7509330,32.2952854,0.9900000,13.6,False
75,-24.9996789,32.2995548,0.9874000,13.9,False
76,-23.1839310,32.2870365,0.9904000,12.7,False
77,-24.8649211,32.2965519,0.9894000,14.1,False
78,-24.1618099,32.2787201,0.9902000,13.3,False
79,-24.4749698,32.2984455,0.9892000,13.5,False
80,-23.1990348,32.3037292,0.9884000,12.6,True
81,-24.4500991,32.2875378,0.9890000,13.3,False
82,-23.7059668,32.2929264,0.9896000,12.9,False
83,-22.8258356,32.3120090,0.9882000,12.3,True
84,-23.9154444,32.3028481,0.9884000,13.0,False
85,-23.3362234,32.3041939,0.9890000,12.7,False
86,-24.2975972,32.3063011,0.9884000,13.3,False
87,-24.9718853,32.2929657,0.9878000,14.0,False
88,-24.8687888,32.3035126,0.9912000,13.6,False
89,-23.6026230,32.2996490,0.9902000,12.7,False
90,-23.4020880,32.3040936,0.9874000,12.3,False
91,-24.9351833,32.3014614,0.9902000,14.3,False
92,-23.8321920,32.2949638,0.9886000,13.1,False
93,-24.0874946,32.3084888,0.9886000,13.2,False
94,-24.9799085,32.3115562,0.9890000,13.6,True
95,-23.7208546,32.3090084,0.9890000,13.3,False
96,-22.3974027,32.2985310,0.9888000,12.5,False
97,-22.4385171,32.3023762,0.9904000,11.9,False
98,-24.5425805,32.3060192,0.9894000,13.5,False
99,-24.2317991,32.3105694,0.9894000,12.8,False
100,-25.2313891,32.3107246,0.9894000,14.0,False
