epoch,train_loss,val_rate,val_acc,time_sec,saved
1,-30.0362714,31.9151123,0.7673000,33.5,True
2,-31.0084888,31.9232065,0.8136000,32.4,True
3,-31.1576641,31.9252153,0.8405000,32.5,True
4,-31.2649676,31.9266687,0.8715000,32.5,True
5,-31.3622328,31.9269011,0.9017000,32.8,True
6,-31.4358416,31.9272638,0.9099000,33.2,True
7,-31.4967846,31.9275036,0.9280000,33.3,True
8,-31.5354801,31.9278082,0.9350000,33.3,True
9,-31.5714004,31.9278179,0.9405000,33.4,True
10,-31.5975987,31.9278149,0.9433000,33.6,False
11,-31.6325053,31.9279877,0.9449000,33.8,True
12,-31.6574932,31.9282654,0.9451000,33.1,True
13,-31.6749537,31.9287868,0.9505000,34.1,True
14,-31.6937009,31.9285280,0.9533000,34.0,False
15,-31.7074483,31.9286121,0.9561000,34.1,False
16,-31.7195726,31.9288553,0.9557000,35.4,True
17,-31.7275408,31.9287764,0.9580000,35.4,False
18,-31.7348864,31.9289862,0.9564000,34.9,True
19,-31.7394434,31.9289145,0.9585000,34.6,False
20,-31.7456441,31.9290663,0.9589000,34.5,True
21,-31.7509370,31.9291445,0.9586000,33.4,True
22,-31.7562600,31.9291805,0.9580000,33.6,True
23,-31.7603363,31.9293560,0.9568000,33.6,True
24,-31.7620024,31.9293413,0.9568000,33.9,False
25,-31.7672543,31.9294966,0.9584000,33.8,True
26,-31.7701662,31.9292812,0.9597000,33.6,False
27,-31.7732884,31.9293592,0.9578000,33.7,False
28,-31.7747703,31.9294121,0.9581000,33.5,False
29,-31.7797663,31.9295902,0.9604000,34.1,True
30,-31.7826490,31.9295813,0.9606000,34.2,False
31,-31.7851323,31.9296694,0.9587000,33.3,True
32,-31.7883740,31.9295343,0.9598000,33.4,False
33,-31.7959444,31.9295946,0.9602000,33.3,False
34,-31.7955077,31.9297859,0.9597000,33.7,True
35,-31.7960868,31.9298077,0.9585000,34.0,True
36,-31.8019892,31.9298426,0.9590000,35.4,True
37,-31.8057888,31.9301001,0.9562000,35.8,True
38,-31.8071918,31.9301584,0.9601000,38.0,True
39,-31.8111707,31.9299345,0.9569000,36.3,False
40,-31.8140418,31.9301956,0.9576000,36.0,True
41,-31.8171324,31.9301329,0.9550000,35.3,False
42,-31.8196729,31.9303242,0.9580000,36.3,True
43,-31.8214988,31.9303343,0.9571000,36.7,True
44,-31.8230511,31.9304821,0.9559000,34.0,True
45,-31.8278496,31.9307123,0.9562000,33.6,True
46,-31.8290960,31.9306442,0.9573000,33.5,False
47,-31.8310551,31.9306202,0.9580000,33.4,False
48,-31.8321077,31.9308939,0.9579000,33.5,True
49,-31.8349236,31.9307913,0.9547000,33.5,False
50,-31.8369364,31.9312294,0.9568000,34.3,True
