epoch,train_loss,val_rate,val_acc,time_sec,saved
1,-22.7480410,31.9056021,0.7966000,21.7,True
2,-25.1014612,31.9236870,0.8360000,22.8,True
3,-23.6561471,31.9252817,0.9077000,21.1,True
4,-24.9955886,31.9284506,0.9433000,22.0,True
5,-24.5305277,31.9287636,0.9463000,21.9,True
6,-23.1274718,31.9286678,0.9521000,20.3,False
7,-24.2260234,31.9288809,0.9505000,21.0,True
8,-23.8172538,31.9289547,0.9530000,21.9,True
9,-24.5417798,31.9288923,0.9557000,22.0,False
10,-24.2491704,31.9288191,0.9532000,21.7,False
11,-24.2079568,31.9289391,0.9534000,21.6,False
12,-24.5689064,31.9289038,0.9556000,22.0,False
13,-24.8772621,31.9287521,0.9568000,22.9,False
14,-23.0030657,31.9286129,0.9548000,20.1,False
15,-24.3300512,31.9291031,0.9562000,22.3,True
16,-25.1666819,31.9288712,0.9591000,23.1,False
17,-23.9890419,31.9288116,0.9569000,21.8,False
18,-24.5497110,31.9290714,0.9575000,22.5,False
19,-23.6809484,31.9289700,0.9574000,21.0,False
20,-23.7679314,31.9289572,0.9590000,21.3,False
21,-24.4208786,31.9290785,0.9563000,22.1,False
22,-25.0672055,31.9290684,0.9584000,23.5,False
23,-24.2643978,31.9292648,0.9582000,22.2,True
24,-23.3251166,31.9290455,0.9561000,21.0,False
25,-24.0858847,31.9290043,0.9587000,21.6,False
26,-23.8940462,31.9291039,0.9545000,21.9,False
27,-24.3114550,31.9291857,0.9575000,21.8,False
28,-24.8575126,31.9291847,0.9565000,22.4,False
29,-23.7956669,31.9294016,0.9560000,21.3,True
30,-23.9016242,31.9292673,0.9573000,21.0,False
31,-23.8453081,31.9286953,0.9584000,21.2,False
32,-24.8523379,31.9290934,0.9572000,23.0,False
33,-24.8046572,31.9295456,0.9603000,22.6,True
34,-24.6049286,31.9292999,0.9578000,22.3,False
35,-23.9678503,31.9286598,0.9568000,21.0,False
36,-24.7799773,31.9299616,0.9573000,23.0,True
37,-23.5428281,31.9294836,0.9594000,21.0,False
38,-24.9502412,31.9296848,0.9578000,22.3,False
39,-23.6573102,31.9291691,0.9571000,21.3,False
40,-24.0929194,31.9292879,0.9580000,21.5,False
41,-24.2990958,31.9297421,0.9584000,21.7,False
42,-24.3796162,31.9293943,0.9577000,21.6,False
43,-25.3483595,31.9298321,0.9555000,23.5,False
44,-24.3940536,31.9299553,0.9571000,22.2,False
45,-23.3158888,31.9300180,0.9585000,20.6,True
46,-23.9497179,31.9296474,0.9551000,21.7,False
47,-24.5751283,31.9296694,0.9591000,22.3,False
48,-23.1465180,31.9294081,0.9561000,21.0,False
49,-23.4644202,31.9295887,0.9561000,21.2,False
50,-23.2522957,31.9290028,0.9538000,20.8,False
51,-24.1059606,31.9295996,0.9540000,22.1,False
52,-24.4783489,31.9298321,0.9585000,22.3,False
53,-24.0664073,31.9299347,0.9566000,22.0,False
54,-23.5974479,31.9296635,0.9584000,20.8,False
55,-25.2936582,31.9299953,0.9581000,22.9,False
56,-24.1218735,31.9297098,0.9558000,21.6,False
57,-23.7946873,31.9297848,0.9565000,21.3,False
58,-24.1198436,31.9299435,0.9581000,21.7,False
59,-24.0466135,31.9301245,0.9570000,21.4,True
60,-23.7796331,31.9297897,0.9566000,21.2,False
61,-23.7276367,31.9299269,0.9559000,20.8,False
62,-24.9879443,31.9294689,0.9566000,22.5,False
63,-23.9900494,31.9298878,0.9550000,21.4,False
64,-24.5182878,31.9300226,0.9569000,22.1,False
65,-24.6840459,31.9300261,0.9557000,21.9,False
66,-23.2155089,31.9297285,0.9577000,20.9,False
67,-22.7170909,31.9295786,0.9547000,19.9,False
68,-24.2455484,31.9303579,0.9559000,21.9,True
69,-24.4735798,31.9299088,0.9568000,22.7,False
70,-23.1311574,31.9298088,0.9570000,20.7,False
71,-23.3125282,31.9299440,0.9559000,20.9,False
72,-24.9849752,31.9299564,0.9579000,23.0,False
73,-23.8518967,31.9302637,0.9542000,21.4,False
74,-23.5895370,31.9300392,0.9574000,21.1,False
75,-24.8990645,31.9304968,0.9573000,22.5,True
76,-24.2017864,31.9300922,0.9573000,22.0,False
77,-25.0867339,31.9303804,0.9567000,22.9,False
78,-24.0344486,31.9303246,0.9572000,21.5,False
79,-24.0253653,31.9298597,0.9590000,21.3,False
80,-23.1038374,31.9300495,0.9569000,20.3,False
81,-25.4326476,31.9309021,0.9565000,23.2,True
82,-24.7865939,31.9300142,0.9589000,22.3,False
83,-23.6383263,31.9300852,0.9600000,21.8,False
84,-24.0639260,31.9301325,0.9584000,21.7,False
85,-24.3841162,31.9303905,0.9579000,21.9,False
86,-24.0932390,31.9303280,0.9577000,22.1,False
87,-23.9998644,31.9301119,0.9595000,21.7,False
88,-23.4139931,31.9303112,0.9548000,21.0,False
89,-24.4370497,31.9302279,0.9594000,22.5,False
90,-24.1215524,31.9303801,0.9554000,22.3,False
91,-25.1236981,31.9305878,0.9597000,22.6,False
92,-24.6728222,31.9304985,0.9547000,21.9,False
93,-23.8123512,31.9306440,0.9586000,20.9,False
94,-24.0651990,31.9302866,0.9547000,21.4,False
95,-24.0602214,31.9304380,0.9552000,21.9,False
96,-24.0300876,31.9305189,0.9566000,21.5,False
97,-23.8824255,31.9304478,0.9527000,21.3,False
98,-24.8816442,31.9302650,0.9564000,22.3,False
99,-24.4412743,31.9304468,0.9573000,22.0,False
100,-23.1406339,31.9304525,0.9555000,20.1,False
