epoch,train_loss,val_rate,val_acc,time_sec,saved
1,-24.1838479,31.8490173,0.8098000,26.3,True
2,-23.2374373,31.8641443,0.8554000,23.8,True
3,-24.6003377,31.8656010,0.9220000,25.1,True
4,-24.1182348,31.8654938,0.9340000,24.0,False
5,-23.9752249,31.8656307,0.9516000,24.8,True
6,-24.5139979,31.8658482,0.9521000,24.8,True
7,-24.0946814,31.8660561,0.9547000,24.3,True
8,-24.6672856,31.8658285,0.9558000,25.6,False
9,-23.7951616,31.8661053,0.9549000,24.3,True
10,-23.9361689,31.8657991,0.9588000,24.8,False
11,-24.6890832,31.8660131,0.9573000,25.7,False
12,-23.7707061,31.8658770,0.9600000,24.0,False
13,-23.3872814,31.8658485,0.9586000,24.1,False
14,-23.8631043,31.8661259,0.9596000,24.9,True
15,-24.1765186,31.8662388,0.9580000,24.8,True
16,-24.9189238,31.8660492,0.9601000,25.9,False
17,-24.2432594,31.8659731,0.9583000,25.0,False
18,-24.2641364,31.8659422,0.9603000,24.9,False
19,-24.8881090,31.8661741,0.9598000,26.3,False
20,-24.5830002,31.8662245,0.9624000,25.5,False
21,-24.1002126,31.8661110,0.9606000,24.7,False
22,-23.4740376,31.8660603,0.9583000,24.2,False
23,-23.0389874,31.8661434,0.9600000,23.2,False
24,-24.4772193,31.8661730,0.9577000,25.6,False
25,-23.8312284,31.8660503,0.9599000,24.4,False
26,-24.0823408,31.8660393,0.9579000,24.5,False
27,-23.8225239,31.8663624,0.9596000,24.3,True
28,-23.9867768,31.8662926,0.9583000,25.0,False
29,-23.3396478,31.8662798,0.9595000,23.7,False
30,-24.5340451,31.8663595,0.9610000,24.8,False
31,-23.9562290,31.8661823,0.9616000,24.1,False
32,-25.3396725,31.8665424,0.9567000,26.2,True
33,-24.8038709,31.8665510,0.9575000,25.7,True
34,-23.6596685,31.8662420,0.9561000,24.1,False
35,-23.9693935,31.8662064,0.9609000,24.2,False
36,-23.3438428,31.8661667,0.9610000,23.7,False
37,-24.3789643,31.8663801,0.9607000,25.2,False
38,-23.9226711,31.8662088,0.9563000,24.7,False
39,-23.6983108,31.8662336,0.9576000,24.5,False
40,-24.2357796,31.8662355,0.9567000,24.5,False
41,-24.6716098,31.8662674,0.9555000,25.7,False
42,-24.2966059,31.8661430,0.9569000,24.8,False
43,-24.8391473,31.8664492,0.9565000,25.5,False
44,-25.0168980,31.8662825,0.9568000,25.9,False
45,-24.8887545,31.8662851,0.9582000,26.2,False
46,-24.1925317,31.8665527,0.9597000,24.7,True
47,-24.5490508,31.8664722,0.9554000,24.8,False
48,-23.2960106,31.8663279,0.9588000,23.4,False
49,-24.0768710,31.8665871,0.9583000,25.7,True
50,-23.5436797,31.8664171,0.9559000,24.0,False
51,-23.7985506,31.8667747,0.9595000,24.0,True
52,-24.6112654,31.8665335,0.9555000,25.8,False
53,-23.9639005,31.8661612,0.9540000,23.9,False
54,-24.1983971,31.8664827,0.9575000,24.6,False
55,-24.3357330,31.8664106,0.9553000,24.2,False
56,-23.4156328,31.8662756,0.9568000,23.4,False
57,-23.8944587,31.8664284,0.9576000,24.3,False
58,-24.3824959,31.8664200,0.9597000,24.6,False
59,-24.2284753,31.8662706,0.9591000,24.7,False
60,-23.2573956,31.8663675,0.9579000,24.1,False
61,-24.4624561,31.8666689,0.9568000,25.5,False
62,-23.3729533,31.8665474,0.9552000,23.6,False
63,-23.7707761,31.8661360,0.9588000,24.0,False
64,-24.8769947,31.8665707,0.9566000,26.0,False
65,-24.6284696,31.8666237,0.9583000,25.9,False
66,-23.5175979,31.8659962,0.9574000,24.3,False
67,-24.9082111,31.8662613,0.9594000,26.4,False
68,-23.7674297,31.8663778,0.9545000,24.7,False
69,-23.8269714,31.8663540,0.9575000,24.2,False
70,-24.4865995,31.8665363,0.9580000,25.3,False
71,-24.2619561,31.8670067,0.9557000,25.1,True
72,-22.9615151,31.8663382,0.9571000,23.1,False
73,-24.3105987,31.8664484,0.9593000,25.1,False
74,-23.6169520,31.8670101,0.9554000,24.4,True
75,-23.5054159,31.8666351,0.9537000,24.0,False
76,-22.8063183,31.8664063,0.9571000,23.1,False
77,-23.5616626,31.8664837,0.9568000,24.5,False
78,-22.7974133,31.8661478,0.9569000,23.3,False
79,-24.2454348,31.8668076,0.9597000,24.9,False
80,-24.1370081,31.8664261,0.9565000,24.6,False
81,-23.5635076,31.8664713,0.9581000,23.9,False
82,-24.7708562,31.8668198,0.9575000,25.7,False
83,-24.6708934,31.8670845,0.9590000,25.6,True
84,-24.1720821,31.8669985,0.9569000,24.9,False
85,-23.9193008,31.8664423,0.9579000,24.0,False
86,-23.9945400,31.8666063,0.9585000,24.2,False
87,-23.7960605,31.8669670,0.9577000,24.0,False
88,-24.8431123,31.8669254,0.9556000,25.8,False
89,-23.9265481,31.8669970,0.9585000,24.8,False
90,-23.5750034,31.8670366,0.9563000,24.6,False
91,-24.9914596,31.8667706,0.9551000,26.7,False
92,-23.0892059,31.8671141,0.9590000,23.3,True
93,-24.4734743,31.8674339,0.9567000,25.8,True
94,-23.7738634,31.8670618,0.9550000,24.6,False
95,-25.2043215,31.8671070,0.9581000,26.2,False
96,-24.8212994,31.8675947,0.9576000,25.3,True
97,-24.6608311,31.8669258,0.9561000,25.7,False
98,-24.6309583,31.8672060,0.9591000,25.3,False
99,-23.5467249,31.8670734,0.9563000,24.3,False
100,-25.0067645,31.8676014,0.9566000,26.8,True
